,acc,val_acc,loss,val_loss
0,0.41119999906420707,0.534999998807907,1.9561208503246308,1.5077306389808656
1,0.5758199993371963,0.6658000028133393,1.3160068074464797,1.1147993183135987
2,0.6424400007724762,0.6966000032424927,1.107243925333023,0.9736373496055603
3,0.6834600023031234,0.7559999990463256,0.9879179414510727,0.8050821495056152
4,0.7077800024747849,0.7326000034809113,0.9211128339767456,0.9067013609409332
5,0.727840001821518,0.7248000073432922,0.8674260066747665,0.9271859991550445
6,0.7480400003194809,0.7732000005245209,0.8248939462900162,0.7509414106607437
7,0.7572399997711181,0.7519999980926514,0.7920761930942536,0.9045021486282349
8,0.7668999984264374,0.7837999951839447,0.7677844251990318,0.7630593883991241
9,0.7769199976921082,0.7883999955654144,0.7462462837696076,0.7031009137630463
10,0.7816999981403351,0.8079999971389771,0.7303768058419228,0.6527197968959808
11,0.7895799970626831,0.8175999999046326,0.7124405291080474,0.6241205286979675
12,0.7954599974155426,0.7940000009536743,0.698727161347866,0.7397071743011474
13,0.7999799979925155,0.8127999985218048,0.6869597210288048,0.6690730237960816
14,0.8040999977588653,0.8197999978065491,0.6762909801602364,0.6421566861867904
15,0.81001999771595,0.8303999924659728,0.6646239006519318,0.6208098864555359
16,0.8141199972629547,0.8199999976158142,0.6535444154739379,0.6475041991472245
17,0.8155799984931946,0.8353999984264374,0.6501189302802086,0.6128431588411332
18,0.818419998049736,0.8141999971866608,0.6445958113074303,0.6773666501045227
19,0.8206999983787536,0.789599996805191,0.6389983531832695,0.7592049598693847
20,0.8224199982881546,0.8143999969959259,0.6328516678214073,0.6796975356340408
21,0.8234799970388412,0.7903999996185302,0.6315656971335412,0.7515905642509461
22,0.8244399969577789,0.8234000051021576,0.6305390770435333,0.6545537954568863
23,0.8269599965810775,0.8263999986648559,0.6211067908406258,0.6383129388093949
24,0.8318799978494644,0.8391999995708466,0.6159555333852768,0.5989085268974305
25,0.8314999994039536,0.8366000020503997,0.6129270662665367,0.6113356220722198
26,0.8334199987649917,0.8271999979019165,0.6088294036388398,0.6417630815505981
