,train,val,time
0,0.47603233034571063,0.559,50
1,0.5597591229193342,0.5672,48
2,0.5747439180537772,0.5832,48
3,0.587127880921895,0.6078,48
4,0.5940701024327785,0.607,47
5,0.6003521126760564,0.6018,47
6,0.5996118758002561,0.603,46
7,0.6047135083226632,0.6068,46
8,0.6082346350832266,0.6206,46
9,0.6129161331626121,0.6032,47
